Name,w1_euc,w1_vec,w1_index,w2_euc,w2_vec,w2_index,w3_euc,w3_vec,w3_index,s4_euc,s4_vec,s4_index,b5_euc,b5_vec,b5_index,callibrate_euc,callibrate_vec,callibrate_index,callibrate_pearsonr,callibrate_pearsonr_recal
ajit,"[[2.7770811686656467, 3.755702886232762], [1.039681567135621, 1.1397673251052163], [2.4264028138604026, 3.4354612448255866]]",2.051961260469951,5,"[[1.2605730150500856, 3.913980917938276], [0.6460551449049801, 0.7960805375923865], [0.8985610070256286, 3.7499557745099255]]",2.93899063873139,3,"[[1.3104658690151365, 2.7455024349691715], [0.5528488636997896, 0.784813137040449], [1.0860316994978774, 2.5380845076677354]]",1.6973600425109028,5,"[[2.9518599033686574, 4.583786029281639], [1.3726183102724039, 1.4456817862040658], [2.289439667196642, 4.058886800969436]]",2.7293633763451064,14,"[[1.855330043610776, 4.663978780352117], [1.0643477519229299, 1.3232807739293975], [1.2912846619037943, 4.25872536594133]]",2.7705819898320576,12,"[[4.75191186888923, 5.954445179107213], [1.682893710006519, 1.8385180551302678], [4.0534535316464915, 5.4106596794505055]]",3.4092659532082057,17,"[-0.5039052021172092, 2.2393671974243857e-138]","[-0.21088569352815528, 5.73436010985974e-23]"
akash,"[[1.7722045945487201, 0.8740354126890609], [1.5680857772763832, 0.5482451009686893], [0.6598923387529717, 0.5549608109588097]]",0.5101574591538907,3,"[[2.521877262408066, 1.6052519943639734], [2.264008529409394, 1.3035942060665313], [0.9026477788503424, 0.6694110929789718]]",1.2343222615238851,0,"[[2.6836161233199753, 0.981226793683275], [2.5715142561362283, 0.8002183269794887], [0.6305677940850547, 0.44291748827760635]]",0.7862774274747358,5,"[[3.019578030624022, 1.980345196020608], [2.4587885046521367, 1.2665109943774067], [1.3778947432277882, 1.2430781594383944]]",1.2008143944140597,9,"[[2.6388745668565328, 2.5397720088153224], [1.8342513640557565, 1.693986020944215], [1.4995161666756922, 1.485435047919046]]",1.9580216179428063,14,"[[3.499244290845199, 1.6837683923726672], [3.25153220525593, 1.3452352608054647], [0.9984701425974591, 0.878577089559585]]",0.9929574025999115,16,"[0.49922537280354873, 1.0493773854559237e-135]","[0.45186196362691555, 1.6023569822123552e-108]"
alejandro,"[[1.9499368037034965, 0.9483214875630871], [0.5904199868799035, 0.5343239023137306], [1.659453661147382, 0.6410342565332015]]",0.5516861385156205,2,"[[1.7828510397677024, 1.2999714799659694], [0.7729864267894606, 0.8229784622938789], [1.4329178751472584, 0.8275807273818733]]",1.0098026198606493,0,"[[0.8818394224761349, 0.864139191635175], [0.42200189618862133, 0.4631745811118355], [0.7048882769213493, 0.641881826255947]]",0.6770772833713401,6,"[[2.14818226694619, 1.59027934511162], [1.0280999728763245, 0.9654295454043871], [1.6754812120175422, 1.0677266956164426]]",0.9861120529377053,8,"[[1.1682057101562988, 1.3298754085928084], [0.6482245450934313, 0.6898325521241209], [0.8370769433620788, 0.9907184894642699]]",1.043709319276619,11,"[[2.4724492456098957, 1.8012712496635055], [0.7863724826144229, 0.7957145641538476], [2.1901604890767667, 1.4932279224155742]]",1.0787811906052225,16,"[0.4360260682820365, 2.146930410354967e-100]","[0.351334586514206, 1.9759205166730378e-63]"
aman,"[[0.8797854417840343, 1.0017227278613], [0.6114945404042278, 0.30703574007066725], [0.5342899488620099, 0.9152115421296138]]",0.5879943987777503,3,"[[0.6408263718341825, 0.6630254654686375], [0.3112399180210538, 0.42691178105405375], [0.4871426333325011, 0.4274399174074449]]",0.5396336906453691,5,"[[0.5237395025851649, 0.7144795149118213], [0.3074986153911444, 0.31280654379427597], [0.3611751639081345, 0.5838937172222217]]",0.5865595880728577,5,"[[1.6948836937292298, 1.6133547930007037], [1.097856722376912, 0.8231882401489355], [1.072129951940623, 1.2085942191184185]]",0.9415411779352405,5,"[[1.2828047634242816, 1.3808894775375684], [0.7706178724154148, 0.7886417821321431], [0.8706571301107735, 0.9771045709818378]]",1.222935958923539,11,"[[1.62737505570109, 1.4045049093409883], [1.2666745216165367, 0.7060129744025974], [0.8146518907971202, 0.9763957554029687]]",0.8078467030660403,0,"[0.3545525975741227, 5.387764036810709e-65]","[0.4938247667812722, 3.5535328563962574e-133]"
annalise,"[[0.9849979678219623, 2.4539856254810846], [0.441483036240347, 0.43266451138765094], [0.8161719574264933, 2.367346600642399]]",1.4067725653623964,0,"[[1.165964390755909, 2.2104698258892053], [0.6371212662278743, 0.6779932651736663], [0.857755320310719, 1.9766677804016257]]",1.7455175029696641,4,"[[2.2645411804313715, 4.659629142130315], [1.4043748441051163, 1.097744362422904], [1.5003386571755553, 4.321235740855373]]",2.7306743676051393,5,"[[2.4854505393283284, 2.2276195564756383], [1.587167882337161, 1.455688779365854], [1.6226769468081805, 1.4202297713360308]]",1.3696454761183094,10,"[[2.2106706252466375, 2.3604577309278096], [1.467270015756417, 1.451095601747384], [1.356163258668328, 1.5584073545053139]]",1.9043749166377104,14,"[[1.6004226087529685, 1.6552669861152483], [0.6967003931072753, 0.47943942896853214], [1.3291539281142652, 1.5235213946386963]]",0.9617591389234497,15,"[-0.26243304534935463, 4.061346743750469e-35]","[0.5037036317371175, 2.2363756591454826e-138]"
bianca,"[[1.001124843917553, 1.0582995778491322], [0.59982193145843, 0.8011158084142229], [0.7094757208118218, 0.5926678043840687]]",0.5982023557467049,1,"[[1.037687484024462, 1.824045702474347], [0.42063409982145267, 0.9879034448344313], [0.8961495480301876, 1.4753211262946384]]",1.3924551819418063,0,"[[0.83721415883166, 1.1194606605910724], [0.3504991372348177, 0.713025226162556], [0.698014037389481, 0.7415726862409282]]",0.7901779583001252,5,"[[1.6492360606469805, 1.7881807130486067], [0.8681228737476381, 1.181605862855089], [1.2418238161249138, 1.1334943114839657]]",1.0613953135635386,8,"[[1.5850919752398116, 1.6839528052522237], [0.9406256579289626, 1.0339813270969758], [1.0724699860564288, 1.101919395740725]]",1.618539867732784,13,"[[1.253425587578629, 1.3875544718659565], [0.4909952899697657, 0.6348057113257027], [1.0998853881786859, 1.1703609297377213]]",0.7764061062994042,0,"[0.2565738097340392, 7.125283493897241e-34]","[0.46958258497826977, 4.079138183632572e-119]"
brenna,"[[1.0092210501420547, 0.7880970040584517], [0.6111797889089534, 0.39024890694944186], [0.6604234810187722, 0.5958842562089943]]",0.43320208347380035,2,"[[1.681921114675971, 1.2354001704355322], [1.2372640668504902, 0.8713480845098557], [0.8806506314097281, 0.6629354830228337]]",0.9271040254585147,1,"[[1.2664530061366404, 0.8962754538609332], [0.6439133688840687, 0.4525918692054284], [0.9879337334418433, 0.6736787861731418]]",0.6700841274497217,5,"[[2.4068630347389264, 2.1667542919236156], [1.0435922215939952, 1.1036987962904854], [1.9566873511358296, 1.6295551523098728]]",1.1653275765968756,8,"[[2.0109917945240228, 2.4041170491464574], [1.077922677338364, 1.1001690562820094], [1.4851559053532313, 1.909389180950749]]",1.642374187644327,12,"[[1.3783489256033714, 1.2568818544500633], [0.9507488635772592, 0.7112130864879801], [0.7680037965724397, 0.827151817195912]]",0.6861790368912357,0,"[-0.01703822567259135, 0.4286731347394519]","[-0.18642464769581002, 2.417053811856237e-18]"
chinmay,"[[1.2174126293211371, 1.1445563112474726], [0.8067082208963866, 0.4596056387301318], [0.7716845186186249, 0.9580229217408027]]",0.6656472982172895,3,"[[0.9360318146700746, 0.9668680837587054], [0.6000309278944297, 0.4315712064270922], [0.6163868463785696, 0.7661884083427263]]",0.7631218620612403,5,"[[0.6918860218238868, 0.7998059111803669], [0.44296091857760367, 0.441418695262754], [0.4358155319302286, 0.5759431931318009]]",0.8715886140419417,5,"[[1.9515145941457732, 1.7827886256701375], [1.284484645491104, 0.998371639619007], [1.2034658018904651, 1.2730186256031168]]",1.0705542735715863,6,"[[1.5676948402605841, 1.6208975159844277], [0.998628386899962, 1.0203194387748318], [0.9972524973044301, 1.044261168773302]]",1.4525347553236296,12,"[[4.354566896773328, 4.2475159399102465], [3.0899377145835643, 2.920505887028288], [2.4223257393018622, 2.420254294376229]]",2.4457611476507255,0,"[-0.052849039245188564, 0.014007712544418497]","[-0.0742299290742835, 0.0005534395020423057]"
chris,"[[5.755193457802539, 5.702547516412699], [4.448004857831452, 3.5972861725301075], [2.9956826460809034, 3.7422184042063815]]",3.090306956801466,8,"[[4.116014309791512, 2.5136380690376563], [3.65228610781326, 1.2242473087763457], [1.3510828389724372, 1.9302353670338495]]",1.9760714983199998,10,"[[3.614167331458397, 4.813565462578896], [2.536855289019327, 3.408225833946806], [2.2269562871203483, 2.8991462602750753]]",2.4981279438182167,6,"[[7.23367633896178, 6.534256234142086], [5.414908378886245, 3.6340537695131547], [3.7469038768061096, 4.601036326743281]]",3.7801619276024683,19,"[[3.3308795193931866, 5.205296089033709], [2.5863098385333814, 4.291255759117768], [1.6242913655087476, 2.283458697202869]]",3.134226868612079,13,"[[6.937344079564916, 5.227562197246518], [6.27433070866312, 1.9434854690387857], [2.3198653646244605, 4.6670728454581205]]",2.4723287952845387,0,"[-0.2578668398901043, 3.770507418534614e-34]","[-0.2015627438206698, 3.0907869933959792e-21]"
deept,"[[2.941697136145498, 2.6337696893626257], [1.642593015501284, 1.3178838777362376], [2.006576864356771, 1.8833355106201846]]",1.4977874672276792,0,"[[1.8265605371603726, 2.3547261072184233], [0.9922677046490318, 0.8101201086904427], [1.3256084421633998, 2.002444355777167]]",1.837733846178794,4,"[[14.956173719207246, 13.681177985836374], [12.947652277321858, 12.58832425457685], [5.471556632613579, 3.921364282719425]]",8.432744435008404,6,"[[6.32898353278287, 6.385544431450495], [3.0728297935069535, 2.8349703380886906], [4.9770428135622256, 5.1894037733050045]]",4.142269689946244,8,"[[2.4529403664604987, 2.9453974056495578], [1.2980998861869517, 1.4148923519833951], [1.799730787832769, 2.2466434757572307]]",2.032769302817174,15,"[[3.4483144821926794, 3.455720311733], [1.6302988729858636, 1.5434859157148366], [2.6595716777686067, 2.732109371745664]]",2.105130979783428,0,"[0.39555612289125464, 7.965774197581268e-100]","[0.2625986907873411, 5.5798327894191556e-43]"
gab,"[[1.66275410519915, 1.8191408412734462], [0.8959386105167826, 0.6780954197181582], [1.2481639535228068, 1.55653182873115]]",1.031306072897442,2,"[[1.3541175632168194, 1.4605148986428074], [0.6666248903088633, 0.6259986718130892], [0.9514008662875232, 1.076042922133697]]",1.1744126201033063,3,"[[2.6396224493902416, 2.5820068732090595], [0.42874675721491956, 0.36925528302362015], [2.5753947594305004, 2.522601899260107]]",1.5032498356461022,6,"[[1.5916175867170603, 1.7255724487023387], [0.5967847991530362, 0.7239752202186762], [1.3636949115929553, 1.45615177480366]]",0.9890502073004033,3,"[[1.4319883779328146, 1.5112364837260852], [0.7551049790547765, 0.7730577294247303], [1.0523901803498072, 1.1364080475801412]]",1.4433148841728143,12,"[[0.9850626537601125, 0.8395804113520123], [0.33013694354806855, 0.36604274189882374], [0.8774147394274273, 0.688039655089454]]",0.475978094425831,0,"[0.01064030910340392, 0.6208100895291874]","[-0.15783289152139673, 1.5327488020444144e-13]"
harsha,"[[1.6764888954891255, 5.997412874749037], [0.7526000016940727, 0.8878239481989395], [1.3029512539495758, 5.831454112763659]]",3.44249376403472,0,"[[1.3525461207567344, 7.638619837244161], [0.9236255350602257, 1.0727915573615288], [0.7920099278542837, 7.410449804957972]]",6.032618137073428,11,"[[0.9223863678419227, 7.639657431125553], [0.5145233269865983, 0.9449375764504331], [0.6510368513666233, 7.551897325096872]]",4.403953248691795,6,"[[1.839485579200183, 5.978180416714892], [0.9039652672310913, 1.2132319043730433], [1.4243072154891623, 5.733990754736787]]",3.4275551110053533,3,"[[2.189149602699439, 7.294687366645639], [1.2180916788287903, 1.3455477689132578], [1.5502739980767268, 7.08950596273998]]",4.27886583385867,13,"[[1.0388808641409346, 6.579896414585942], [0.3672358404106155, 1.0817172912458946], [0.8974275026174457, 6.412354102490742]]",3.8143005539107286,0,"[0.026409970913664878, 0.21984964633978596]","[0.16659569049183873, 6.559095925464368e-15]"
ishleen,"[[6.6282186648161945, 8.620940667941108], [4.8452381227856876, 3.7195525571411667], [3.54899484747935, 7.125804706347748]]",6.079130934485832,21,"[[3.5032400181312977, 9.169528067452314], [3.0172017853183406, 2.1959700007292935], [1.4184269888054473, 8.735661011603574]]",7.200963902926777,8,"[[8.601233910353809, 9.889581638022499], [8.376405199955695, 4.407216708865555], [1.4727690890009315, 8.585008636805734]]",5.8818710028772125,20,"[[5.482074046614885, 7.89742481191666], [5.032324574618692, 2.4247612142507022], [1.296103093289024, 7.3198204336232475]]",4.539330576526216,22,"[[3.290694141944566, 6.168041923418497], [2.8038299371391426, 2.6176769680571175], [1.1991343393659735, 4.746127401916423]]",4.226015802067659,14,"[[7.047455588697921, 10.712136567122155], [5.621008195712141, 3.551375813520864], [2.6878199641900675, 9.746748679689189]]",6.160912618214289,21,"[-0.19976287070107196, 1.0823054173198945e-20]","[-0.33647398248460875, 8.96374769427963e-58]"
jenni,"[[1.5345736447310918, 1.4786375462237666], [1.0230898150726677, 0.8300954844373234], [0.928642719853897, 1.0457362377674777]]",0.8139569642587374,0,"[[1.9600800540698953, 2.0824452561897773], [1.4113105974376066, 1.3354798376152768], [1.0507459150493257, 1.3248273410937486]]",1.5688381698067386,0,"[[1.529325250762113, 1.1942141212521231], [0.8366383052911995, 0.5835520996697676], [1.151629372558601, 0.9099564172053343]]",0.7572991380713637,5,"[[2.4185217842297058, 2.501427565272693], [1.6220749390392772, 1.5939995785713017], [1.4263971203188595, 1.5442127889158195]]",1.3258338727134005,0,"[[1.926642587404102, 1.9462973953906277], [1.247422336015992, 1.254583148666742], [1.222526461370866, 1.2246744246136112]]",1.3833144161375628,10,"[[1.43280607541164, 1.7298263918757932], [0.8349051776261187, 0.9677607635890745], [0.9604211203295463, 1.3020422997624694]]",0.9652020400845611,0,"[0.6190648584060736, 4.592713341109306e-229]","[0.5408029442404342, 1.4184111637177852e-164]"
jessica,"[[1.146933577113551, 1.4001503035970835], [0.33039661035557777, 0.3265904365156679], [1.046336070492851, 1.321678653216339]]",0.8649612041303465,6,"[[1.088114135317716, 1.2698490310347272], [0.530891473426298, 0.623526498688804], [0.8804449735782416, 1.0149060545077266]]",1.0088692917593725,7,"[[1.2870053055070043, 1.8491845278541181], [0.3211481133343387, 0.45339510517531495], [1.2062431579394857, 1.7459649447465297]]",1.1163418013797701,6,"[[1.568831452546381, 1.5807290569536088], [0.8118232411904183, 0.776530487872484], [1.1782282212945174, 1.2353516249541352]]",0.9563126944673418,7,"[[1.3096768585696532, 1.4344066608769968], [0.7161816467120257, 0.7591130378958663], [0.9502021655662739, 1.0609694136111754]]",1.1605379098696147,14,"[[1.159078114791547, 1.4281079622770716], [0.4042018748060002, 0.3624849790328363], [1.021209688193648, 1.3317368693097003]]",0.8189235940628224,0,"[0.4917279234523101, 6.78367614165648e-132]","[0.5343026770319852, 9.73928474828053e-160]"
