Name,w1_euc,w1_vec,w1_index,w2_euc,w2_vec,w2_index,w3_euc,w3_vec,w3_index,s4_euc,s4_vec,s4_index,b5_euc,b5_vec,b5_index,callibrate_euc,callibrate_vec,callibrate_index,callibrate_pearsonr,callibrate_pearsonr_recal
ajit,"[[3.0803183976703887, 3.755702886232762], [1.4094921167774932, 1.1397673251052163], [2.472908269716537, 3.4354612448255866]]",2.051961260469951,5,"[[1.0902188440755574, 3.913980917938276], [0.6278444300706901, 0.7960805375923865], [0.7403814058633059, 3.7499557745099255]]",2.93899063873139,3,"[[1.7558862728081652, 2.7455024349691715], [0.757975838260303, 0.784813137040449], [1.480749565385973, 2.5380845076677354]]",1.6973600425109028,5,"[[3.151835406611223, 4.583786029281639], [1.8033496900816754, 1.4456817862040658], [2.2026810571809157, 4.058886800969436]]",2.7293633763451064,14,"[[2.197067879571995, 4.663978780352117], [1.3237635148515041, 1.3232807739293975], [1.490709837081208, 4.25872536594133]]",2.7705819898320576,12,"[[4.388785590448885, 5.954445179107213], [2.3660599326040344, 1.8385180551302678], [3.411449264618851, 5.4106596794505055]]",3.4092659532082057,17,"[-0.5039052021172092, 2.2393671974243857e-138]","[-0.24458389846874928, 1.4681630997454204e-30]"
akash,"[[1.538683143421648, 0.8740354126890609], [1.3095538456979616, 0.5482451009686893], [0.677335402674021, 0.5549608109588097]]",0.5101574591538907,3,"[[0.8340693914305239, 1.6052519943639734], [0.6104931941559271, 1.3035942060665313], [0.43985009698077576, 0.6694110929789718]]",1.2343222615238851,0,"[[1.128180611806516, 0.981226793683275], [0.6536832048509477, 0.8002183269794887], [0.8037169879901197, 0.44291748827760635]]",0.7862774274747358,5,"[[2.6591107955538247, 1.980345196020608], [2.1982026367371743, 1.2665109943774067], [1.1809967791509095, 1.2430781594383944]]",1.2008143944140597,9,"[[2.7001399578273153, 2.5397720088153224], [1.9716133333277712, 1.693986020944215], [1.4115162313842406, 1.485435047919046]]",1.9580216179428063,14,"[[3.3821712698449984, 1.6837683923726672], [2.747101419567933, 1.3452352608054647], [1.7126560462774456, 0.878577089559585]]",0.9929574025999115,16,"[0.49922537280354873, 1.0493773854559237e-135]","[-0.07643026791085428, 0.0003932458885441363]"
alejandro,"[[1.4821511158247294, 0.9483214875630871], [1.1605502771422518, 0.5343239023137306], [0.7199165041151616, 0.6410342565332015]]",0.5516861385156205,2,"[[1.2400336451079952, 1.2999714799659694], [0.8377750830280344, 0.8229784622938789], [0.7425211881845791, 0.8275807273818733]]",1.0098026198606493,0,"[[1.205685603478718, 0.864139191635175], [0.9025280553938866, 0.4631745811118355], [0.6800942108175687, 0.641881826255947]]",0.6770772833713401,6,"[[2.127333673665158, 1.59027934511162], [1.5699129512541066, 0.9654295454043871], [1.1645365071812546, 1.0677266956164426]]",0.9861120529377053,8,"[[1.592841273440682, 1.3298754085928084], [0.895771442207302, 0.6898325521241209], [1.128745696592077, 0.9907184894642699]]",1.043709319276619,11,"[[2.1308741479311384, 1.8012712496635055], [1.4650608825660756, 0.7957145641538476], [1.3153935285398506, 1.4932279224155742]]",1.0787811906052225,16,"[0.4360260682820365, 2.146930410354967e-100]","[0.15505162955214052, 4.986782121533501e-13]"
aman,"[[1.1076630766924502, 1.0017227278613], [0.6842795641017559, 0.30703574007066725], [0.7378206580244785, 0.9152115421296138]]",0.5879943987777503,3,"[[0.5261588102621633, 0.6630254654686375], [0.2884451999134408, 0.42691178105405375], [0.37550784238613955, 0.4274399174074449]]",0.5396336906453691,5,"[[0.5246163304245769, 0.7144795149118213], [0.3075619561023537, 0.31280654379427597], [0.36485038096279016, 0.5838937172222217]]",0.5865595880728577,5,"[[1.8519581375112222, 1.6133547930007037], [1.1602830492275, 0.8231882401489355], [1.1845281821487967, 1.2085942191184185]]",0.9415411779352405,5,"[[1.3153006463800196, 1.3808894775375684], [0.7728227168197082, 0.7886417821321431], [0.9089499572817665, 0.9771045709818378]]",1.222935958923539,11,"[[2.06020432370788, 1.4045049093409883], [1.4147609800647587, 0.7060129744025974], [1.1835629936508119, 0.9763957554029687]]",0.8078467030660403,0,"[0.3545525975741227, 5.387764036810709e-65]","[0.397792497066075, 8.183365833725755e-83]"
annalise,"[[1.2810987360215402, 2.4539856254810846], [0.9558281391265097, 0.43266451138765094], [0.6915747947593642, 2.367346600642399]]",1.4067725653623964,0,"[[1.0914991597734354, 2.2104698258892053], [0.5958727472306827, 0.6779932651736663], [0.7883453301691911, 1.9766677804016257]]",1.7455175029696641,4,"[[3.1945695463213593, 4.659629142130315], [2.9221231685387137, 1.097744362422904], [0.8420605150507118, 4.321235740855373]]",2.7306743676051393,5,"[[3.9553908837235876, 2.2276195564756383], [2.632612180429109, 1.455688779365854], [2.549973122056922, 1.4202297713360308]]",1.3696454761183094,10,"[[2.6893655048490763, 2.3604577309278096], [1.846988738372633, 1.451095601747384], [1.592337871264915, 1.5584073545053139]]",1.9043749166377104,14,"[[3.565205270918165, 1.6552669861152483], [2.190841261307997, 0.47943942896853214], [2.4666339419414283, 1.5235213946386963]]",0.9617591389234497,15,"[-0.26243304534935463, 4.061346743750469e-35]","[0.22564908749664303, 3.634488227838478e-26]"
bianca,"[[1.1835353554719839, 1.0582995778491322], [0.36772012732272685, 0.8011158084142229], [1.0758907529012314, 0.5926678043840687]]",0.5982023557467049,1,"[[0.6281335635269404, 1.824045702474347], [0.28659306544794155, 0.9879034448344313], [0.4992493772272849, 1.4753211262946384]]",1.3924551819418063,0,"[[1.6323395758271682, 1.1194606605910724], [0.4512198165717562, 0.713025226162556], [1.5255545760071207, 0.7415726862409282]]",0.7901779583001252,5,"[[1.3006178081017572, 1.7881807130486067], [0.6266726502488775, 1.181605862855089], [1.0120382758452733, 1.1334943114839657]]",1.0613953135635386,8,"[[1.9014518644167921, 1.6839528052522237], [1.0387755327566217, 1.0339813270969758], [1.3822022054232748, 1.101919395740725]]",1.618539867732784,13,"[[0.7353717079681825, 1.3875544718659565], [0.42349018309129743, 0.6348057113257027], [0.5200500435675266, 1.1703609297377213]]",0.7764061062994042,0,"[0.2565738097340392, 7.125283493897241e-34]","[-0.006433629386012371, 0.7648523189762647]"
brenna,"[[0.8457135886177901, 0.7880970040584517], [0.5156888561206803, 0.39024890694944186], [0.5672395337965879, 0.5958842562089943]]",0.43320208347380035,2,"[[1.010619374582341, 1.2354001704355322], [0.6003283396592767, 0.8713480845098557], [0.6610747107563776, 0.6629354830228337]]",0.9271040254585147,1,"[[0.9873548777995376, 0.8962754538609332], [0.6345600944668434, 0.4525918692054284], [0.6358081583006543, 0.6736787861731418]]",0.6700841274497217,5,"[[2.3116239980829936, 2.1667542919236156], [1.3155083930752087, 1.1036987962904854], [1.6148441085847716, 1.6295551523098728]]",1.1653275765968756,8,"[[2.4102850365752726, 2.4041170491464574], [1.188983559727831, 1.1001690562820094], [1.8555002894839343, 1.909389180950749]]",1.642374187644327,12,"[[1.3777687326321122, 1.2568818544500633], [0.9281915650087688, 0.7112130864879801], [0.8081311690730962, 0.827151817195912]]",0.6861790368912357,0,"[-0.01703822567259135, 0.4286731347394519]","[-0.13099261390993858, 9.912682225390195e-10]"
chinmay,"[[1.3307954211778668, 1.1445563112474726], [1.0474431082708113, 0.4596056387301318], [0.641210347653124, 0.9580229217408027]]",0.6656472982172895,3,"[[0.6724846734171747, 0.9668680837587054], [0.4200261160712096, 0.4315712064270922], [0.4299364166238532, 0.7661884083427263]]",0.7631218620612403,5,"[[1.0802268547585583, 0.7998059111803669], [0.7111601381389538, 0.441418695262754], [0.6798508438946818, 0.5759431931318009]]",0.8715886140419417,5,"[[2.2960017503480117, 1.7827886256701375], [1.5841158398647464, 0.998371639619007], [1.32291183989078, 1.2730186256031168]]",1.0705542735715863,6,"[[1.7097038845214734, 1.6208975159844277], [1.104145351478407, 1.0203194387748318], [1.0631033108763839, 1.044261168773302]]",1.4525347553236296,12,"[[4.637425725731427, 4.2475159399102465], [3.3494640210828206, 2.920505887028288], [2.5391922544445613, 2.420254294376229]]",2.4457611476507255,0,"[-0.052849039245188564, 0.014007712544418497]","[-0.03528366131775475, 0.10105144066588612]"
chris,"[[4.881629781671698, 5.702547516412699], [3.3012394213107066, 3.5972861725301075], [2.926018229437141, 3.7422184042063815]]",3.090306956801466,8,"[[1.534297276517281, 2.5136380690376563], [0.7096393375710826, 1.2242473087763457], [1.2309243305503959, 1.9302353670338495]]",1.9760714983199998,10,"[[5.007282787867863, 4.813565462578896], [4.564245632612399, 3.408225833946806], [1.568097874731059, 2.8991462602750753]]",2.4981279438182167,6,"[[5.882238172538145, 6.534256234142086], [3.6507522547746065, 3.6340537695131547], [3.7776860753287074, 4.601036326743281]]",3.7801619276024683,19,"[[4.909277693928341, 5.205296089033709], [4.194302315302992, 4.291255759117768], [1.8777459203924989, 2.283458697202869]]",3.134226868612079,13,"[[4.762125605617773, 5.227562197246518], [2.390228619639085, 1.9434854690387857], [3.705488277759841, 4.6670728454581205]]",2.4723287952845387,0,"[-0.2578668398901043, 3.770507418534614e-34]","[-0.41343638367397995, 5.992283769848518e-90]"
deept,"[[2.2856881193531313, 2.6337696893626257], [1.3081748945207576, 1.3178838777362376], [1.5364919504162697, 1.8833355106201846]]",1.4977874672276792,0,"[[1.3865675144169072, 2.3547261072184233], [0.7506215820665714, 0.8101201086904427], [0.978553194529261, 2.002444355777167]]",1.837733846178794,4,"[[14.779375307282864, 13.681177985836374], [12.649127613058816, 12.58832425457685], [5.469892116351357, 3.921364282719425]]",8.432744435008404,6,"[[6.447544418267975, 6.385544431450495], [2.8781578145263547, 2.8349703380886906], [5.269762932212412, 5.1894037733050045]]",4.142269689946244,8,"[[2.5749344506250553, 2.9453974056495578], [1.3559694483260496, 1.4148923519833951], [1.8851355186110144, 2.2466434757572307]]",2.032769302817174,15,"[[2.472574275172541, 3.455720311733], [1.3798884280294559, 1.5434859157148366], [1.7164066371684676, 2.732109371745664]]",2.105130979783428,0,"[0.39555612289125464, 7.965774197581268e-100]","[0.2926231241168213, 2.1234342350373557e-53]"
