Name,w1_euc,w1_vec,w1_index,w2_euc,w2_vec,w2_index,w3_euc,w3_vec,w3_index,s4_euc,s4_vec,s4_index,b5_euc,b5_vec,b5_index,callibrate_euc,callibrate_vec,callibrate_index,callibrate_pearsonr,callibrate_pearsonr_recal
ajit,"[[4.133566604110697, 5.9797610028856765], [1.3132362048687765, 1.7330454345425859], [3.6812056066328376, 5.6224069477681375]]",1.2281539437689717,29,"[[1.7690729535219887, 4.193536967348561], [0.8379363511466662, 0.8234593136618765], [1.4416315193774685, 4.067197786628155]]",0.4564377748573683,0,"[[2.4961874835187037, 3.149968386355547], [0.9025163580416226, 0.9472451852059253], [2.1983115752445204, 2.8933175706950887]]",0.736735615521623,5,"[[4.543216085572369, 7.968849578274084], [1.9283959260340013, 2.5038461645390035], [3.846360073436271, 7.1147996191489264]]",1.7983158535610062,29,"[[2.275505662512526, 4.252900827532237], [1.0292647453104877, 1.166040433883145], [1.8109807488727203, 3.9252245878498595]]",1.0370463327409627,11,"[[4.289957646821653, 5.954445179107213], [1.7846338652297462, 1.8385180551302678], [3.4160067382706716, 5.4106596794505055]]",3.4092659532082057,17,"[-0.5039052021172092, 2.2393671974243857e-138]","[-0.26786463769178676, 1.5512663724794175e-36]"
akash,"[[1.3611456350757674, 1.5280302990684873], [0.9672318198822707, 1.0616120756944454], [0.6324894794791808, 0.8631560538888897]]",0.3527252914479761,16,"[[2.2473718628663666, 1.8169283509607008], [1.77755355025606, 1.494718753754476], [1.1588426061049861, 0.7062651166785971]]",0.1986644368937186,21,"[[1.3358684537585035, 0.9925740775046461], [1.10287454091793, 0.8235363617391309], [0.6350715197497006, 0.4194157635834502]]",0.29282876238907213,5,"[[2.28335638211632, 2.4704325008129837], [1.737420698251865, 1.8006475718419228], [1.135150834584557, 1.2876362967537043]]",0.554419564932132,8,"[[2.1573609472224313, 1.8978564103196172], [1.357162992466465, 1.2710622640828657], [1.4094525565903795, 1.1422975565512632]]",0.62795994269864,12,"[[2.075870647167159, 1.6837683923726672], [1.6214259815395387, 1.3452352608054647], [1.092160736621061, 0.878577089559585]]",0.9929574025999115,16,"[0.49922537280354873, 1.0493773854559237e-135]","[0.3913706385942268, 1.5973539483639947e-79]"
alejandro,"[[1.151231823101824, 1.2063087410453732], [0.6791673865250623, 0.4064730007052188], [0.7722871287805327, 1.009771276657263]]",0.2762208855060919,21,"[[1.6847095172623754, 1.7701870380068574], [1.1525713097544332, 1.0066331692796635], [1.0957077696276243, 1.3299781900847436]]",0.19680992494981886,2,"[[1.1423766310874837, 0.8300960506769552], [0.5532766196009744, 0.48468502587887113], [0.9205023673052619, 0.5697542456463227]]",0.27244667652588583,5,"[[1.722059477796355, 1.9087334140467445], [0.9423081165151139, 1.1008405447698735], [1.2055115612050926, 1.3193633033472802]]",0.4275745836060631,0,"[[1.7494588293153672, 1.348096549867706], [0.9231511843745237, 0.7645363833796484], [1.296501703957545, 0.9575608237473681]]",0.43848725011148304,15,"[[1.6634789428792829, 1.8012712496635055], [1.0546499506652278, 0.7957145641538476], [1.1759788652591865, 1.4932279224155742]]",1.0787811906052225,16,"[0.4360260682820365, 2.146930410354967e-100]","[0.4604244876045034, 3.550534322746429e-113]"
aman,"[[1.0309700453157526, 1.1599514808822238], [0.4509363652154825, 0.29524007223001375], [0.8366747170061271, 1.0887674067321178]]",0.26225485249919456,0,"[[1.0665906349338818, 0.5791350266156154], [0.2180099448551378, 0.4015453589164796], [1.023619224150896, 0.3573022676157085]]",0.06512038724725541,0,"[[1.213413239281486, 0.670875577031024], [0.30644359327736326, 0.3298081741258634], [1.1462149514456683, 0.5171059446863989]]",0.21346772730656435,5,"[[1.4936147345056923, 2.157174642550089], [0.8159090495868767, 1.0436082425087099], [1.0862172658904623, 1.6814422739512196]]",0.508777467549784,22,"[[1.4650622192083111, 1.4470068265705704], [0.8888495559548993, 0.7700073929375196], [0.9839104884530483, 1.0656727988500683]]",0.4624894819153837,12,"[[1.3319935793882767, 1.4045049093409883], [0.803231632559801, 0.7060129744025974], [0.7590345251047195, 0.9763957554029687]]",0.8078467030660403,0,"[0.3545525975741227, 5.387764036810709e-65]","[0.17993524791152254, 3.5567488011141426e-17]"
annalise,"[[2.9936355104743053, 2.79420388821504], [2.5260061615216793, 0.43773385394828834], [1.4976086660246917, 2.7204121894912645]]",0.6393415100099817,0,"[[2.4832303952195502, 2.190339257019218], [2.323007035777712, 0.33756377032191187], [0.707872713862903, 2.1358502212235884]]",0.24855499868018635,0,"[[4.60332743409182, 4.391728969860209], [4.0404443488337565, 1.2480057308533155], [1.9152360652788913, 3.960717628349786]]",1.0233317868694107,5,"[[4.379881702665088, 4.1658528289943515], [3.6475268678443573, 2.949845490139858], [2.005705867904925, 2.432678264503499]]",0.9607710001045138,24,"[[2.8833926680382107, 2.449794771510691], [1.9818175346887712, 1.358122775455368], [1.718357110420272, 1.7293362089372393]]",0.7391411460383862,14,"[[2.6425326951613908, 1.6552669861152483], [2.029436140711829, 0.47943942896853214], [1.4142315000941685, 1.5235213946386963]]",0.9617591389234497,15,"[-0.26243304534935463, 4.061346743750469e-35]","[-0.03656787951920405, 0.09041947355150151]"
bianca,"[[1.2908832677783828, 1.2564739980841748], [0.5682486386816814, 0.8887781005098333], [1.0453061181143297, 0.7731010640932259]]",0.27328077142607915,0,"[[1.0177661000433935, 1.8607678950083182], [0.4049955278990148, 0.9326081823783499], [0.8271163774908599, 1.5744122996374743]]",0.20416945969946082,0,"[[0.9304352237792456, 1.0815315969644113], [0.5065902677652047, 0.7355956503485056], [0.7056609426234355, 0.6865809739032709]]",0.30717823760422097,5,"[[1.2993723461016125, 1.8927730164818792], [0.7723350380195578, 1.243829248930099], [0.8974570117321417, 1.1681202410841662]]",0.4302420448211384,18,"[[1.8524511163448563, 1.7764703410046625], [1.089256791759469, 1.0729481869377087], [1.2914209775024, 1.1735372791696232]]",0.6633920962506121,12,"[[1.0850727464076182, 1.3875544718659565], [0.6710498147352099, 0.6348057113257027], [0.6850701810971286, 1.1703609297377213]]",0.7764061062994042,0,"[0.2565738097340392, 7.125283493897241e-34]","[0.017187808732369247, 0.4242013980452698]"
brenna,"[[1.6390641411250677, 0.8939584228298817], [0.8494466355705821, 0.49525714428571405], [1.2381045233080503, 0.6138866914285704]]",0.19645245104113315,0,"[[1.307955821985122, 0.7753165122595522], [0.8915463262669904, 0.5393686123642253], [0.8036948008855257, 0.43015161370373584]]",0.0862502174625,3,"[[16.991978465653677, 16.492353196891976], [15.000735941928097, 14.707330160574214], [6.909871802483498, 6.435555215389402]]",7.105889942493529,6,"[[2.1179178383972013, 2.3014085860126463], [1.3589862157662567, 1.4530440155440412], [1.3236986420775014, 1.483293676180607]]",0.49268710545831806,12,"[[2.771998968908551, 2.3567258290635906], [1.0319691751244204, 1.0960345696532714], [2.388907882635316, 1.8578778514580845]]",0.5907641209007534,11,"[[2.0350437570214375, 1.2568818544500633], [1.048941542814277, 0.7112130864879801], [1.4894067267352153, 0.827151817195912]]",0.6861790368912357,0,"[-0.01703822567259135, 0.4286731347394519]","[-0.06359319380659559, 0.003108226611505839]"
chinmay,"[[2.8291733304648603, 2.492744647886066], [1.805853154511818, 1.4525258790412878], [2.1029380704639022, 1.8942834118825052]]",0.5634127241990838,0,"[[1.0427058934861668, 0.7449196236510136], [0.34967584051439565, 0.36231559218315235], [0.9251960461735799, 0.5592469262906721]]",0.08140308893955375,2,"[[0.9766758812446155, 0.7979534461189607], [0.6814998716617857, 0.37440640150211346], [0.5797713338024327, 0.619115908630282]]",0.3471162618902728,5,"[[2.554550606700624, 2.925771264534328], [1.618862585023931, 1.8870898291392604], [1.704950251835393, 1.962774082512248]]",0.6642681150717118,9,"[[1.7481283276221697, 1.6576667226320891], [1.1320508042186836, 1.0197506082926835], [1.0740828446062025, 1.0734838051582587]]",0.5638410854242348,12,"[[4.606853666397373, 4.2475159399102465], [3.4012507642432346, 2.920505887028288], [2.4623662947008897, 2.420254294376229]]",2.4457611476507255,0,"[-0.052849039245188564, 0.014007712544418497]","[-0.1084033878889195, 4.3886811087746153e-07]"
chris,"[[5.506818490896889, 5.771847630304821], [4.63867312734135, 2.9250904317315025], [2.7148869516895258, 4.480577525095352]]",1.206429723941793,28,"[[4.266747096910187, 1.8742356073242976], [3.029331498787112, 1.0219987791228633], [2.8831331670455516, 1.3268154235938643]]",0.20386949692932266,5,"[[7.663330887794098, 4.860641953096208], [7.186577740958759, 3.5554129635950766], [2.2531356397841433, 2.78634440377221]]",1.0210233955183199,3,"[[8.556772572778897, 8.992263427787757], [6.086131633082268, 5.55279486875362], [5.06386151845836, 6.040075782375368]]",1.9532960291271537,0,"[[8.216739658906672, 5.368765706989186], [7.217415496583454, 4.113397738085275], [2.9495625863708526, 2.904796101368076]]",1.2078200536449424,14,"[[5.552578267579972, 5.227562197246518], [4.385133963800896, 1.9434854690387857], [2.4915428435576885, 4.6670728454581205]]",2.4723287952845387,0,"[-0.2578668398901043, 3.770507418534614e-34]","[-0.21258354942534624, 1.708903594522236e-23]"
deept,"[[3.5630111061005874, 2.52128426270472], [1.426135450171658, 1.3455339131054138], [2.7898158914700235, 1.6401751548433048]]",0.6054164504852151,29,"[[2.0750008448820627, 2.6566251124805147], [0.9530513281060495, 0.7791137771994119], [1.7082190618997248, 2.4277912736693517]]",0.2913139115602506,29,"[[2.637474929025246, 1.5108936034604785], [0.9480783770469473, 1.0412920824707972], [2.3178063814119407, 0.8847799383760687]]",0.21991194044542953,5,"[[3.884884309962187, 5.265597716670535], [1.5802234419335948, 1.8618054018105847], [3.1906224710507995, 4.641249328690818]]",0.9110720313601082,29,"[[3.6749670217776114, 3.2771712121552996], [1.9828121791751856, 1.8829746624153785], [2.6805359250525127, 2.1855214988741087]]",0.9299400281136885,16,"[[3.8232280935250764, 3.455720311733], [1.2473097015503272, 1.5434859157148366], [3.234267154728935, 2.732109371745664]]",2.105130979783428,0,"[0.39555612289125464, 7.965774197581268e-100]","[0.33530596562132897, 1.5411278599179854e-70]"
